Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,50.439999,50.770000,49.490002,50.509998,49.715656,28225400
2022-04-29,49.869999,50.340000,49.000000,49.070000,48.298302,28343300
2022-05-02,47.680000,48.759998,47.459999,48.340000,47.579784,36228400
2022-05-03,48.869999,50.040001,47.700001,49.290001,48.514843,33716900
2022-05-04,48.889999,49.869999,47.910000,49.660000,48.879025,28613700
2022-05-05,49.459999,49.549999,47.549999,48.450001,47.688057,28333000
2022-05-06,48.090000,49.220001,48.040001,49.040001,48.268776,19891400
2022-05-09,48.380001,49.169998,47.770000,48.639999,47.875065,25012300
2022-05-10,49.040001,49.900002,48.689999,49.490002,48.711700,27335900
2022-05-11,49.070000,50.240002,49.029999,49.450001,48.672325,29699500
2022-05-12,49.000000,50.430000,48.720001,50.389999,50.002010,33468400
2022-05-13,50.380001,50.790001,49.680000,49.919998,49.535629,22423700
2022-05-16,49.869999,51.049999,49.869999,50.669998,50.279854,19435600
2022-05-17,50.950001,51.520000,50.180000,51.340000,50.944695,19918200
2022-05-18,51.220001,51.419998,50.160000,50.400002,50.011936,22276000
2022-05-19,50.000000,50.889999,49.590000,50.650002,50.260010,19865500
2022-05-20,51.270000,52.700001,51.130001,52.470001,52.065998,31250400
2022-05-23,52.580002,53.700001,52.480000,52.880001,52.472839,24035800
2022-05-24,52.709999,53.610001,52.709999,53.410000,52.998756,26729800
2022-05-25,53.200001,54.049999,53.049999,53.709999,53.296448,24003900
2022-05-26,54.060001,54.919998,53.880001,53.990002,53.574295,23516300
2022-05-27,53.919998,54.410000,53.520000,53.910000,53.494907,21407500
2022-05-31,53.320000,53.500000,51.939999,53.040001,52.631607,66058200
2022-06-01,53.250000,53.279999,51.840000,52.369999,51.966763,17430600
2022-06-02,52.369999,52.740002,51.040001,52.680000,52.274380,21903400
2022-06-03,52.459999,53.529999,52.459999,53.200001,52.790375,18125000
2022-06-06,53.189999,53.720001,53.000000,53.259998,52.849911,16544400
2022-06-07,53.279999,53.970001,53.009998,53.959999,53.544521,15091200
2022-06-08,54.060001,54.560001,53.410000,53.470001,53.058296,12789800
2022-06-09,53.270000,53.650002,51.700001,51.779999,51.381306,17572700
2022-06-10,51.310001,51.369999,49.950001,49.970001,49.585247,23826000
2022-06-13,48.820000,49.279999,47.709999,47.910000,47.541107,26989000
2022-06-14,47.750000,48.470001,47.220001,47.919998,47.551025,23290300
2022-06-15,47.880001,48.980000,47.180000,48.509998,48.136486,25748000
2022-06-16,47.689999,48.000000,47.060001,47.480000,47.114418,20424500
2022-06-17,47.380001,48.029999,46.279999,46.529999,46.171730,45047700
2022-06-21,47.320000,48.439999,46.950001,48.110001,47.739567,19622100
2022-06-22,48.029999,49.580002,47.770000,49.070000,48.692173,20382900
2022-06-23,49.230000,50.169998,48.980000,50.090000,49.704319,20061700
2022-06-24,50.650002,51.639999,50.299999,51.590000,51.192772,24343200
2022-06-27,51.480000,52.230000,51.259998,51.880001,51.480537,16154300
2022-06-28,51.830002,51.970001,50.410000,50.660000,50.269932,16417900
2022-06-29,50.730000,51.439999,50.660000,50.939999,50.547775,13925700
2022-06-30,51.689999,52.889999,51.090000,52.430000,52.026302,33495700
2022-07-01,52.040001,52.369999,51.250000,52.310001,51.907230,16143300
2022-07-05,51.750000,51.889999,50.400002,51.639999,51.242386,18406800
2022-07-06,51.639999,52.959999,51.580002,52.750000,52.343838,21305500
2022-07-07,52.950001,53.540001,52.790001,53.419998,53.008678,17847600
2022-07-08,53.049999,53.919998,52.759998,53.169998,52.760605,11322700
2022-07-11,53.000000,53.740002,52.750000,52.889999,52.482761,12921400
2022-07-12,52.689999,52.779999,51.709999,52.040001,51.639309,14633500
2022-07-13,51.860001,52.310001,51.509998,51.790001,51.391232,12927300
2022-07-14,50.750000,51.590000,50.630001,51.389999,50.994308,14023800
2022-07-15,51.040001,51.910000,50.430000,51.750000,51.351540,19885700
2022-07-18,51.959999,51.970001,50.520000,50.750000,50.359238,15742900
2022-07-19,51.040001,51.509998,50.610001,51.369999,50.974464,13402100
2022-07-20,51.389999,51.459999,50.509998,50.820000,50.428699,12774400
2022-07-21,50.570000,51.139999,50.180000,51.119999,50.726387,15103800
2022-07-22,51.259998,51.529999,50.950001,51.230000,50.835541,10932100
2022-07-25,51.340000,51.880001,51.340000,51.770000,51.371384,12995800
2022-07-26,51.840000,52.849998,51.709999,52.299999,51.897305,16632500
2022-07-27,51.939999,52.250000,51.189999,51.950001,51.549999,19203500
2022-07-28,50.849998,52.330002,49.099998,50.720001,50.720001,38984900
2022-07-29,50.560001,50.709999,49.279999,50.509998,50.509998,25037900
2022-08-01,50.320000,51.299999,50.150002,50.610001,50.610001,19709900
2022-08-02,50.900002,51.470001,49.630001,49.689999,49.689999,17802000
2022-08-03,49.790001,50.070000,49.340000,49.860001,49.860001,16500100
2022-08-04,49.900002,50.049999,49.209999,49.860001,49.860001,17026300
2022-08-05,49.639999,49.970001,49.060001,49.270000,49.270000,16376600
2022-08-08,49.389999,49.810001,48.939999,49.570000,49.570000,16071800
2022-08-09,49.750000,50.110001,49.520000,49.779999,49.779999,12095600
2022-08-10,49.930000,50.049999,49.380001,49.950001,49.950001,17355100
2022-08-11,48.220001,49.130001,47.810001,48.290001,48.290001,44048800
2022-08-12,48.549999,50.389999,48.549999,50.110001,50.110001,25835500
2022-08-15,49.970001,50.070000,49.389999,49.750000,49.750000,15797800
2022-08-16,49.380001,50.180000,49.360001,49.860001,49.860001,12874800
2022-08-17,49.650002,49.860001,49.250000,49.270000,49.270000,13607200
2022-08-18,49.389999,49.520000,48.380001,48.580002,48.580002,18916300
2022-08-19,48.840000,49.450001,48.730000,49.150002,49.150002,15350200
2022-08-22,49.209999,49.400002,48.740002,48.900002,48.900002,13601200
2022-08-23,48.419998,48.520000,47.759998,48.009998,48.009998,16248900
2022-08-24,47.900002,48.009998,47.380001,47.430000,47.430000,15551500
2022-08-25,47.520000,47.950001,47.270000,47.900002,47.900002,14460000
2022-08-26,47.619999,47.959999,46.700001,46.820000,46.820000,16546700
2022-08-29,46.380001,46.689999,46.119999,46.230000,46.230000,13400500
2022-08-30,46.340000,46.349998,45.799999,45.849998,45.849998,16303000
2022-08-31,46.009998,46.290001,45.130001,45.230000,45.230000,26416800
2022-09-01,45.139999,46.650002,45.139999,46.630001,46.630001,19947600
2022-09-02,46.740002,46.799999,45.529999,45.700001,45.700001,14662700
2022-09-06,45.959999,46.439999,45.529999,45.759998,45.759998,17138300
